"workerid","time"
0,2.14905
1,2.6313
2,3.1012
3,4.33568333333333
4,5.42225
5,6.43446666666667
6,5.74285
7,6.26896666666667
8,2.99883333333333
9,2.8715
10,3.87931666666667
11,6.19596666666667
12,5.67416666666667
13,6.57446666666667
14,8.71748333333333
15,6.76875
16,7.64601666666667
17,4.38816666666667
18,4.28265
19,5.91061666666667
20,6.66576666666667
21,6.74793333333333
22,6.26868333333333
23,3.8616
24,3.65851666666667
25,19.3789333333333
26,5.87661666666667
27,2.24506666666667
28,3.6631
29,7.36405
30,2.91123333333333
31,5.51168333333333
32,4.99753333333333
33,10.6010833333333
34,2.43718333333333
35,2.88783333333333
36,3.1825
37,3.1656
38,4.09805
39,5.68213333333333
40,5.47925
41,3.57231666666667
42,3.0461
43,5.92956666666667
44,2.85088333333333
45,2.62776666666667
46,4.56255
47,5.63393333333333
48,4.91985
49,6.36696666666667
50,6.36398333333333
51,4.10791666666667
52,16.4059333333333
53,3.08815
54,2.98406666666667
55,3.20465
56,4.46073333333333
57,5.22816666666667
58,7.7688
59,8.47326666666667
60,2.28458333333333
61,10.64535
62,4.48653333333333
63,3.38903333333333
64,4.99505
65,4.28683333333333
66,5.8051
67,5.70075
68,7.77623333333333
69,5.16326666666667
70,7.13058333333333
71,3.69981666666667
72,5.4523
73,4.3371
74,11.40705
