"workerid","time"
0,1.78676666666667
1,2.42573333333333
2,1.21161666666667
3,5.01931666666667
4,1.957
5,1.69371666666667
6,1.80766666666667
7,2.66235
8,4.82811666666667
9,1.24095
10,0.975333333333333
11,2.12261666666667
12,1.70788333333333
13,3.26138333333333
14,0.88085
15,6.1177
16,1.8019
17,8.29118333333333
18,1.84228333333333
19,1.12676666666667
20,1.66386666666667
21,2.30658333333333
22,2.89661666666667
23,1.45426666666667
24,6.70386666666667
25,1.80196666666667
26,2.1268
27,0.993883333333333
28,2.37291666666667
29,2.79673333333333
30,2.74476666666667
31,1.2902
32,4.80136666666667
33,7.771
34,5.21321666666667
35,2.242
36,1.34971666666667
37,2.28195
38,3.04005
39,1.80296666666667
40,2.94581666666667
41,12.77415
42,18.9949166666667
43,2.02845
44,1.71943333333333
45,0.808433333333333
46,1.99886666666667
47,3.08576666666667
48,3.4616
49,1.81421666666667
50,2.25945
51,1.59236666666667
52,11.8781666666667
53,2.43026666666667
54,1.47081666666667
55,2.37258333333333
56,1.962
57,1.03128333333333
58,2.58555
59,3.55688333333333
60,1.2584
61,2.69448333333333
62,1.60151666666667
63,1.38276666666667
64,1.54575
65,1.57276666666667
66,2.29938333333333
67,2.84088333333333
68,3.50843333333333
69,3.93463333333333
70,3.35658333333333
71,2.50385
