trial_type,antonym_type,endpoint_low,endpoint_high,response,trial_num,rt,slider_position,adjective_type,adjective,positive,morphant,referent,lexant,name,gender,exptid,workerid
four_sliders,morphant,the most insincere<br>person in the world,the most sincere<br>person in the world,0.26,1,55727,1,morphant,insincere,sincere,insincere,person,fake,Liam,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most insincere<br>person in the world,the most sincere<br>person in the world,0.78,1,55727,2,positive,sincere,sincere,insincere,person,fake,Andrew,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most insincere<br>person in the world,the most sincere<br>person in the world,0.73,1,55727,3,neg_neg_positive,not not sincere,sincere,insincere,person,fake,Jeremy,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most insincere<br>person in the world,the most sincere<br>person in the world,0.26,1,55727,4,neg_positive,not sincere,sincere,insincere,person,fake,Anthony,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unhappy<br>person in the world,the most happy<br>person in the world,0.24,2,22378,1,morphant,unhappy,happy,unhappy,person,sad,Jackie,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unhappy<br>person in the world,the most happy<br>person in the world,0.24,2,22378,2,neg_positive,not happy,happy,unhappy,person,sad,Angela,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unhappy<br>person in the world,the most happy<br>person in the world,0.78,2,22378,3,positive,happy,happy,unhappy,person,sad,Eric,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unhappy<br>person in the world,the most happy<br>person in the world,0.75,2,22378,4,neg_neg_positive,not not happy,happy,unhappy,person,sad,Nicole,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unreliable<br>person in the world,the most reliable<br>person in the world,0.66,3,21521,1,neg_neg_positive,not not reliable,reliable,unreliable,person,flaky,Mia,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unreliable<br>person in the world,the most reliable<br>person in the world,0.76,3,21521,2,positive,reliable,reliable,unreliable,person,flaky,Stephen,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unreliable<br>person in the world,the most reliable<br>person in the world,0.21,3,21521,3,neg_positive,not reliable,reliable,unreliable,person,flaky,Diana,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unreliable<br>person in the world,the most reliable<br>person in the world,0.21,3,21521,4,morphant,unreliable,reliable,unreliable,person,flaky,Michelle,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unresourceful<br>person in the world,the most resourceful<br>person in the world,0.67,4,22828,1,neg_neg_positive,not not resourceful,resourceful,unresourceful,person,wasteful,Alexander,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unresourceful<br>person in the world,the most resourceful<br>person in the world,0.76,4,22828,2,positive,resourceful,resourceful,unresourceful,person,wasteful,Amber,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unresourceful<br>person in the world,the most resourceful<br>person in the world,0.27,4,22828,3,neg_positive,not resourceful,resourceful,unresourceful,person,wasteful,John,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unresourceful<br>person in the world,the most resourceful<br>person in the world,0.27,4,22828,4,morphant,unresourceful,resourceful,unresourceful,person,wasteful,Laura,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most ungenerous<br>person in the world,the most generous<br>person in the world,0.73,5,20891,1,positive,generous,generous,ungenerous,person,stingy,Noah,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most ungenerous<br>person in the world,the most generous<br>person in the world,0.24,5,20891,2,morphant,ungenerous,generous,ungenerous,person,stingy,Cameron,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most ungenerous<br>person in the world,the most generous<br>person in the world,0.67,5,20891,3,neg_neg_positive,not not generous,generous,ungenerous,person,stingy,Stephanie,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most ungenerous<br>person in the world,the most generous<br>person in the world,0.24,5,20891,4,neg_positive,not generous,generous,ungenerous,person,stingy,Daniel,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most impolite<br>person in the world,the most polite<br>person in the world,0.22,6,23958,1,morphant,impolite,polite,impolite,person,rude,Mason,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most impolite<br>person in the world,the most polite<br>person in the world,0.69,6,23958,2,neg_neg_positive,not not polite,polite,impolite,person,rude,Sophia,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most impolite<br>person in the world,the most polite<br>person in the world,0.78,6,23958,3,positive,polite,polite,impolite,person,rude,Sasha,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most impolite<br>person in the world,the most polite<br>person in the world,0.23,6,23958,4,neg_positive,not polite,polite,impolite,person,rude,Kathleen,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most uneducated<br>person in the world,the most educated<br>person in the world,0.77,7,16864,1,positive,educated,educated,uneducated,person,ignorant,Emma,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most uneducated<br>person in the world,the most educated<br>person in the world,0.24,7,16864,2,neg_positive,not educated,educated,uneducated,person,ignorant,Veronica,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most uneducated<br>person in the world,the most educated<br>person in the world,0.23,7,16864,3,morphant,uneducated,educated,uneducated,person,ignorant,Michael,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most uneducated<br>person in the world,the most educated<br>person in the world,0.7,7,16864,4,neg_neg_positive,not not educated,educated,uneducated,person,ignorant,Jacob,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.75,8,11496,1,positive,friendly,friendly,unfriendly,person,mean,Dylan,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.67,8,11496,2,neg_neg_positive,not not friendly,friendly,unfriendly,person,mean,Greg,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.23,8,11496,3,neg_positive,not friendly,friendly,unfriendly,person,mean,Jennifer,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.23,8,11496,4,morphant,unfriendly,friendly,unfriendly,person,mean,Gabriel,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most dishonest<br>person in the world,the most honest<br>person in the world,0.75,9,20502,1,positive,honest,honest,dishonest,person,deceitful,Alison,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most dishonest<br>person in the world,the most honest<br>person in the world,0.64,9,20502,2,neg_neg_positive,not not honest,honest,dishonest,person,deceitful,Monica,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most dishonest<br>person in the world,the most honest<br>person in the world,0.15,9,20502,3,morphant,dishonest,honest,dishonest,person,deceitful,William,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most dishonest<br>person in the world,the most honest<br>person in the world,0.16,9,20502,4,neg_positive,not honest,honest,dishonest,person,deceitful,Claire,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most irrational<br>person in the world,the most rational<br>person in the world,0.17,10,30681,1,morphant,irrational,rational,irrational,person,crazy,Kim,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most irrational<br>person in the world,the most rational<br>person in the world,0.66,10,30681,2,neg_neg_positive,not not rational,rational,irrational,person,crazy,Samuel,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most irrational<br>person in the world,the most rational<br>person in the world,0.22,10,30681,3,neg_positive,not rational,rational,irrational,person,crazy,Alicia,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most irrational<br>person in the world,the most rational<br>person in the world,0.77,10,30681,4,positive,rational,rational,irrational,person,crazy,Maya,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unaffectionate<br>person in the world,the most affectionate<br>person in the world,0.8,11,11339,1,positive,affectionate,affectionate,unaffectionate,person,cold,Julia,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unaffectionate<br>person in the world,the most affectionate<br>person in the world,0.23,11,11339,2,morphant,unaffectionate,affectionate,unaffectionate,person,cold,Melinda,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unaffectionate<br>person in the world,the most affectionate<br>person in the world,0.23,11,11339,3,neg_positive,not affectionate,affectionate,unaffectionate,person,cold,Lucas,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unaffectionate<br>person in the world,the most affectionate<br>person in the world,0.72,11,11339,4,neg_neg_positive,not not affectionate,affectionate,unaffectionate,person,cold,David,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unpatriotic<br>person in the world,the most patriotic<br>person in the world,0.18,12,23494,1,neg_positive,not patriotic,patriotic,unpatriotic,person,traitorous,Brooke,female,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unpatriotic<br>person in the world,the most patriotic<br>person in the world,0.7,12,23494,2,neg_neg_positive,not not patriotic,patriotic,unpatriotic,person,traitorous,Lee,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unpatriotic<br>person in the world,the most patriotic<br>person in the world,0.17,12,23494,3,morphant,unpatriotic,patriotic,unpatriotic,person,traitorous,Tom,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unpatriotic<br>person in the world,the most patriotic<br>person in the world,0.78,12,23494,4,positive,patriotic,patriotic,unpatriotic,person,traitorous,Charles,male,1,6e405bdae63736f14976fd81ce33dad0
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.5,1,16891,1,neg_neg_positive,not not friendly,friendly,unfriendly,person,mean,Sasha,female,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.86,1,16891,2,positive,friendly,friendly,unfriendly,person,mean,Liam,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.08,1,16891,3,morphant,unfriendly,friendly,unfriendly,person,mean,Andrew,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unfriendly<br>person in the world,the most friendly<br>person in the world,0.13,1,16891,4,neg_positive,not friendly,friendly,unfriendly,person,mean,William,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most uninteresting<br>person in the world,the most interesting<br>person in the world,0.18,2,9154,1,neg_positive,not interesting,interesting,uninteresting,person,boring,Sophia,female,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most uninteresting<br>person in the world,the most interesting<br>person in the world,0.82,2,9154,2,positive,interesting,interesting,uninteresting,person,boring,Jeremy,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most uninteresting<br>person in the world,the most interesting<br>person in the world,0.13,2,9154,3,morphant,uninteresting,interesting,uninteresting,person,boring,Maya,female,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most uninteresting<br>person in the world,the most interesting<br>person in the world,0.52,2,9154,4,neg_neg_positive,not not interesting,interesting,uninteresting,person,boring,Brooke,female,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unambitious<br>person in the world,the most ambitious<br>person in the world,0.48,3,5779,1,neg_neg_positive,not not ambitious,ambitious,unambitious,person,lazy,Anthony,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unambitious<br>person in the world,the most ambitious<br>person in the world,0.18,3,5779,2,morphant,unambitious,ambitious,unambitious,person,lazy,Greg,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unambitious<br>person in the world,the most ambitious<br>person in the world,0.13,3,5779,3,neg_positive,not ambitious,ambitious,unambitious,person,lazy,Michael,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unambitious<br>person in the world,the most ambitious<br>person in the world,0.83,3,5779,4,positive,ambitious,ambitious,unambitious,person,lazy,Cameron,male,1,54f34f4b9fe0451715c567ac2e5d9481
four_sliders,morphant,the most unkind<br>person in the world,the most kind<br>person in the world,0.54,4,8510,1,neg_neg_positive,not not kind,kind,unkind,person,cruel,Michelle,female,1,54f34f4b9fe0451715c567ac2e5d9481
