"workerid","time"
0,2.93906666666667
1,3.89503333333333
2,4.02651666666667
3,6.0455
4,2.56791666666667
5,2.44758333333333
6,2.06455
7,1.59565
8,4.51351666666667
9,3.49171666666667
10,4.27685
11,2.9541
12,5.1056
13,4.96596666666667
14,3.06313333333333
15,11.0350833333333
16,3.37243333333333
17,3.6195
18,3.18185
19,4.24133333333333
20,4.79661666666667
21,5.40075
22,3.478
23,3.87261666666667
24,14.9492
25,14.9425333333333
26,27.7796166666667
27,1.30905
28,2.87186666666667
29,3.2522
30,4.92708333333333
31,3.17891666666667
32,2.90461666666667
33,2.49996666666667
34,18.6698333333333
35,6.48726666666667
