key,l95,mean,u95,prob_gt_0,prob_lt_0
b_antonym_typelexant,0.058851958924644586,0.09924715062861966,0.13979309126785366,100,0
b_antonym_typelexant:conditionexplicit,-0.09201505532155779,-0.010955282668916374,0.06990623619152578,39.305,60.695
b_conditionexplicit,-0.046482032861362904,0.011037878930788825,0.06787615869460738,64.835,35.165
b_Intercept,-0.21282281284312085,-0.18398139044043657,-0.1551667739818161,0,100
int_multi_single_v_lex_morph_v_ant_negpos,-0.3226044324418579,-0.16413935688168138,-0.005408192868173153,2.1399999999999997,97.86
int_multi_single_v_lex_morph_v_negant_pos,-0.3495440046587867,-0.15376969350277223,0.04431175035057131,6.585000000000001,93.415
int_multi_single_v_lex_morph_v_negpos_negant,-0.14911962611481244,0.1642170712272133,0.4672564729478662,85.235,14.765
lex_single_ant_v_negpos,-0.18657578819243661,-0.11671791217483657,-0.046268184691544055,0.075,99.925
lex_single_negant_v_pos,-0.4497959132859177,-0.3601209745438255,-0.2721845846648379,0,100
morph_int_multi_single_ant_v_negpos,-0.47868117844403235,-0.36589510393474967,-0.25400239622447596,0,100
morph_int_multi_single_negant_v_pos,-0.47228270792898,-0.3321310641672129,-0.19098885112420258,0,100
morph_int_multi_single_negpos_v_negant,-0.5954849620513716,-0.3783293216369409,-0.15554893833058253,0.045,99.955
morph_multi_ant_v_negpos,-0.47160614615640994,-0.3737887648471664,-0.2740739430381168,0,100
morph_single_ant_v_negpos,-0.07344804255484103,-0.007893660912416766,0.05664178577118779,40.745,59.255
morph_single_negant_v_pos,-0.7045390831507083,-0.619613823391621,-0.5368031825125499,0,100
morph_single_negpos_v_negant,-1.3001483986743942,-1.1883669434421589,-1.0770677817816856,0,100
single_int_lex_morph_ant_v_negpos,-0.1985234140767429,-0.1088242512624198,-0.02020080945163867,0.885,99.115
single_int_lex_morph_negant_v_pos,0.15605500554904614,0.2594928488477955,0.36186493101822853,100,0
single_int_lex_morph_negpos_v_negant,-0.33424226493512776,-0.18355269853848655,-0.03550953033275784,0.75,99.25
