key,l95,mean,u95,prob_gt_0,prob_lt_0
b_antonym_typelexical,0.15704053276548316,0.35037546993318547,0.5394761097957156,99.895,0.105
b_Intercept,-0.30176277157247433,-0.17743414920060266,-0.054328449882755134,0.43,99.57000000000001
int_lex_morph_ant_v_negpos,-0.9796375641894359,-0.5114018216997882,-0.04500876554393051,1.675,98.32499999999999
int_lex_morph_negant_v_pos,0.29888484056380266,0.7012961875376231,1.0971974575972603,99.87,0.13
int_lex_morph_negpos_v_negant,-0.731971595777766,-0.1921036164549959,0.3583437497215652,22.895,77.105
lex_ant_v_negpos,-0.9737241701102545,-0.5744653281475133,-0.17487840699129836,0.46499999999999997,99.535
lex_negant_v_pos,-1.1158604317686307,-0.7581689605439839,-0.40790924138434065,0.045,99.955
lex_negpos_v_negant,-3.35291899581805,-2.8241814738721422,-2.2896310609560304,0,100
morph_ant_v_negpos,-0.316243707296186,-0.06306350644772504,0.19530361558937406,30.28,69.72
morph_negant_v_pos,-1.7122997874709573,-1.459465148081607,-1.2132903784433557,0,100
morph_negpos_v_negant,-3.0287378880753444,-2.632077857417146,-2.242111473993088,0,100
