key,l95,mean,u95,prob_gt_0,prob_lt_0
b_antonym_typelexant,0.14104941779909558,0.22492095434512177,0.30853013739441854,100,0
b_antonym_typelexant:adj_type2:conditionexplicit,-0.25424874419771953,0.3838327390853308,1.0434286298272788,87.76,12.24
b_antonym_typelexant:adj_type3:conditionexplicit,-0.6501578543738825,-0.252331369653861,0.15172566189429537,11.245,88.755
b_antonym_typelexant:conditionexplicit,-0.20512546509813548,-0.04214092888001515,0.11992674431720615,30.34,69.66
b_conditionexplicit,-0.05908145221088442,0.05717856879371968,0.17284553718064247,83.205,16.794999999999998
b_Intercept,-0.19202460956346978,-0.1312307764489495,-0.07118349302831087,0,100
int_multi_single_v_lex_morph_v_negpos_ant,-0.5536755540409871,-0.25005591391380705,0.04816828755031445,5.24,94.76
lex_single_ant_v_negpos,-0.3605809322653297,-0.2237002521240842,-0.08773851876930669,0.06999999999999999,99.92999999999999
lex_single_negant_v_pos,-0.9886468620132907,-0.8080063991893903,-0.62415897498698,0,100
morph_ant_multi_v_single,-1.280856242554812,-0.9803071797543437,-0.6807457177898244,0,100
morph_int_multi_single_ant_v_negpos,-0.8629261379662148,-0.6502087445913796,-0.4379227144143475,0,100
morph_int_multi_single_negant_v_pos,-0.864187608313409,-0.5640726884493451,-0.2761876672875164,0.005,99.995
morph_int_multi_single_negpos_v_negant,-1.296421542619232,-0.8176220359843848,-0.3503019063124786,0.045,99.955
morph_multi_ant_v_negpos,-0.8379450361572239,-0.6542941536892352,-0.470919444421658,0,100
morph_negpos_multi_v_single,-0.6028772013628855,-0.3300984351629641,-0.055007143283454275,0.9249999999999999,99.075
morph_single_ant_v_negpos,-0.13055941504655544,-0.00408540909785565,0.12149048748386646,47.815000000000005,52.185
morph_single_negant_v_pos,-1.5817375362873354,-1.406956862059875,-1.234015033873291,0,100
morph_single_negpos_v_negant,-3.0737406453784257,-2.828782672762551,-2.5817479427572536,0,100
multi_morph_negant,1.168108161676814,1.4199662975132417,1.6719599027472087,100,0
single_int_lex_morph_ant_v_negpos,-0.3934691541987526,-0.21961484302622855,-0.0459346259248912,0.67,99.33
single_int_lex_morph_negant_v_pos,0.38420002549810545,0.5989504628704846,0.8120478361162402,100,0
single_int_lex_morph_negpos_v_negant,-0.7674107715801357,-0.4533372095889703,-0.1332847617547094,0.3,99.7
