key,l95,mean,u95,prob_gt_0,prob_lt_0
ant,-2.5667134627137878,-2.1312929001659406,-1.6959016992605518,0,100
b_Intercept,-0.19178463481983957,0.004503543688245709,0.20224061568780552,51.21,48.79
morph_ant_v_negpos,-0.49567266060768395,-0.29825365558794403,-0.10043774962159617,0.22499999999999998,99.775
morph_negant_v_pos,-1.7230816913918725,-1.2925823967176302,-0.8520726362538479,0,100
morph_negnegpos_v_negant,-1.4419134859365315,-0.8367482872635997,-0.23825150553570532,0.35000000000000003,99.65
morph_negpos_v_negnegpos,-2.838638056027139,-2.1732962085581087,-1.525601285510669,0,100
negant,0.776156639415333,1.1770052512437117,1.5884058719215053,100,0
negnegpos,-0.19620680595902543,0.340256963980112,0.8957077163603331,89.415,10.585
negpos,-2.2636781674608306,-1.8330392445779966,-1.4089448316286604,0,100
pos,2.0231476836010716,2.469587647961342,2.931508954181038,100,0
