key,l95,mean,u95,prob_gt_0,prob_lt_0
b_antonym_typelexical,0.059122301884426645,0.17669378094298063,0.2952278122293847,99.72999999999999,0.27
b_Intercept,-0.3528076794538392,-0.27978476364569865,-0.2061498884940092,0,100
int_lex_morph_ant_v_negpos,-0.5556500366683597,-0.28258025874213005,-0.010613772087280563,2.125,97.875
int_lex_morph_negant_v_pos,0.10852397022271554,0.3315342447760126,0.5483934702171801,99.67,0.33
int_lex_morph_negpos_v_negant,-0.38011802535135253,-0.09304710344698437,0.19929861359069764,25,75
lex_ant_v_negpos,-0.5677095732894587,-0.3427763932002545,-0.11883049845150491,0.385,99.615
lex_negant_v_pos,-0.6161380876069497,-0.41519079335720976,-0.22180128906969254,0.09,99.91
lex_negpos_v_negant,-1.6911374854375205,-1.4053485933211343,-1.1146837748261045,0,100
morph_ant_v_negpos,-0.22172232229744956,-0.06019613445812445,0.10031649415944194,22.055,77.945
morph_negant_v_pos,-0.8785526745042489,-0.7467250381332223,-0.6142518617168485,0,100
morph_negpos_v_negant,-1.5153693215491983,-1.3123014898741499,-1.111730574595619,0,100
